f,Source,Site Name,Address,City,Zip,ZipTxt,Hours of Operation,HoursJSON,Google Calendar JSON,Website,Phone,Email,lat,lng
70,CofBoston,PROJECT SOUP at Saint Benedict’s Church,15 Franklin Street,Somerville,2145,2145,"M, Tu, F 10:00-2pm, W: 12-4, Th: 1-4, Sat: 9-12","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""12:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""13:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Saturday”]
""startsOn"" : ""06/08/2013""
""start"": ""09:00""
""end"" : ""12:00""",,http://www.somervillehomelesscoalition.org/programs/Project%20Soup.html,617-776-7687,projectsoup@earthlink.net,42.386177,-71.083542
71,CofBoston,Catholic Charities/El Centro del Cardenal,76 Union Park St.,Roxbury,2118,2118,"M, Tu, Thu: 10am-2pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""14:00""",,http://www.gbfb.org/need-food/index.php,617-506-6600,,42.343745,-71.072531
72,GBFB Member Agency,Haven From Hunger Food Pantry,71 Wallis St.,Peabody,1960,1960,"M, Tue, Thu, F: 5pm-6pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""17:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""17:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""70:00""
""end"" : ""18:00""",,http://www.havenfromhunger.org/,978-531-1530,,42.529339,-70.923241
73,GBFB Member Agency,Quincy Community Action Emergency Food Center,1 Copeland St.,Quincy,2169,2169,"M, Tue, Thu, F: 9am-4:30pm, W: 11am-6:30pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""09:00""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:00""
""end"" : ""18:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:00""
""end"" : ""16:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""16:30""",,http://www.qcap.org/our-programs/food-&-nutrition/emergency-food-center,617-471-0796,,42.242588,-71.015495
74,GBFB Member Agency,Haven From Hunger Meals Program,6 Bourbon St.,Peabody,1960,1960,"M, Tue, Thu, Fri: 10am-2pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""14:00""",,http://www.sovg.us/index.php?option=com_content&view=article&id=88&Itemid=77,978-210-7413,,42.547928,-70.980141
75,GBFB Member Agency,Open Pantry of Greater Lowell,200 Central St.,Lowell,1852,1852,"M, Tue, W, Thu: 9am-12pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:00""
""end"" : ""12:00""",,http://theopenpantry.org/,978-453-6693,,42.642573,-71.398674
76,GBFB Finder,St. Bridget's Food Pantry,15 Wheeler Avenue,Framingham,1702,1702,"M, W, F: 11:30am-12:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:30""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:30""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:30""
""end"" : ""12:30""",,,805-875-5959,,42.298641,-71.430504
77,GBFB Member Agency,Saint Bridget's Food Pantry,803 Worcester Rd. Route 9,Framingham,1702,1702,"M, W, F: 11:30am-12:30pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:30""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:30""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:30""
""end"" : ""12:30""",,http://www.stbridgetparish.org/progparish.htm,508-875-5959,kmallozzi@stbridgetparish.org,42.367054,-71.181236
78,GBFB Member Agency,Salvation Army Beverly Pantry,50 Elliott St.,Beverly,1915,1915,"M, W, F: 2-4pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""14:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""14:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""14:00""
""end"" : ""16:00""",,http://www.essexcountyhungerrelief.org/Salvation-Army-Beverly-Food-Pantry,978-922-4522,,41.898762,-71.003838
79,GBFB Member Agency,Martha's Vineyard Center for Living Island Food Pantry,24 Church St. ,Vineyard Haven,2568,2568,"M, W, F: 2-4pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""14:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""14:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""14:00""
""end"" : ""16:00""",,http://www.mvcenter4living.org/ourboard.html,508-939-9440,lesliec@mvcenter4living.org,42.32428,-71.058716
80,GBFB Member Agency,Wellspring Multi-Service Pantry,812 Nantasket Ave.,Hull,2045,2045,"M, W, F: 8:30-12","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""08:30""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""08:30""
""end"" : ""12:00""",,http://www.wellspringhull.org/,781-925-0951,monica@wellspringhull.org,42.302303,-70.88355
81,GBFB Member Agency,Citizens For Citizens,264 Griffin St.,Fall River,2724,2724,"M, W, F: 9am-12","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09;00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""12:00""",,http://cfcinc.org/,508-679-0041,,41.688969,-71.16938
82,GBFB Finder,UWTC/Marlborough Community Cupboard,255 Main Street - Suite 113,Marlborough,1752,1752,"M, W, F: 9am-1pm ","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09;00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""13:00""",,,508-481-4080,,42.346629,-71.551829
83,GBFB Finder,UWTC/Pearl Street Cupboard,10 Pearl Street,Framingham,1702,1702,"M, W, F: 9am-1pm, Sat: 7pm-7pm, Open 1 Sat a month from 9am-1pm",,,,508-370-4800,,42.278401,-71.420129
84,Unaffiliated,Around the Table/St. Barnabus Church Parish House,91 Main St.,Falmouth,2540,2540,"M, W, F: Lunch",,,,508-548-4863,,41.553401,-70.618289
85,GBFB Finder,Salvation Army/Framingham Food Pantry,35 Concord Street,Framingham,1702,1702,"M, W, Th, F: 10am-1pm, Tues: 10am-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""13:00""",,,508-875-3341,,42.277515,-71.415779
86,GBFB Member Agency,Pentecostal Assembly,215 Sawyer St.,New Bedford,2746,2746,"M, W, Thu: 9am-10:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""10:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""10:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:00""
""end"" : ""10:30""",,http://pentecostalassembly.org/,508-996-9865,jm@pentecostalassembly.org,41.657971,-70.925318
87,GBFB Finder,Needham Community Council Food Pantry,570 Hillside Avenue,Needham,2494,2494,"M, W: 10:30am-4pm, evening hours: 5pm-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:30""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:30""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""17:00""
""end"" : ""19:00""",,,781-444-2415,,42.289581,-71.237617
88,CofBoston,Cambridge Economic Opportunity Committee Bread & Justice Food Pantry,11 Inman St.,Cambridge,2139,2139,"M, W: 4-6pm, Tue: 12-2pm, Thu: 11-1pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""16:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""12:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""16:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""11:00""
""end"" : ""13:00""",,,617-868-2900,,42.367367,-71.105171
89,Unaffiliated,Easthampton Community Center Food Pantry,12 Clark St.,Easthampton,1027,1027,"M, W: 9am-12, 4-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""16:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""12:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""16:00""
""end"" : ""19:00""",,,413-527-5240,,42.263767,-72.661842
90,GBFB Member Agency,Falmouth Service Center Food Pantry,611 Gifford St.,Falmouth,2540,2540,"M: 10-6, Tue, Thu: 10-2, W: 5-7, F: 10-12","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""17:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""10:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""",,http://www.falmouthhousingcorp.org/,508-548-2794,,41.576611,-70.603706
91,GBFB Member Agency,ABCD - Parker Hill Fenway Neighborhood Service Center,714 Parker St.,Roxbury Crossing,2120,2120,"M: 10am-2:45pm, Thu: 9am-2pm, F: 11am-2pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""14:45""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:00""
""end"" : ""14:00""",,http://parkerhillfenway.org/,617-445-6000,,42.331325,-71.097275
92,GBFB Member Agency,"Food for the World, Inc. Community Services Agency",774 Essex St.,Lawrence,1841,1841,M: 11am-1pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:00""
""end"" : ""13:05""",,http://www.foodfortheworld.org/pantry.html,978-683-9949,,42.702148,-71.174144
93,GBFB Finder,Youth On Fire/Aids Action Committee,1555 Massachusetts Avenue,Concord,2138,2138,"M: 11am-8pm, Tue: 1pm-6pm, W, Thu, F: 11am-6pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""11:00""
""end"" : ""20:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""13:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""11:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:00""
""end"" : ""18:00""",,,617-661-2508,,42.377937,-71.119705
94,GBFB Member Agency,Friendly Food Pantry of Randolph,55 Old St.,Randolph,2368,2368,"M: 12:30-2:30, 6-7:30pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""12:30""
""end"" : ""14:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""18:00""
""end"" : ""19:30""",,,339-987-5577,,42.189409,-71.059079
95,GBFB Member Agency,Open Table Food Pantry Maynard,"Clock Tower Place, Bldg. #8",Maynard,1754,1754,M: 12-1:30pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""12:00""
""end"" : ""13:30""",,http://www.opentable.org/contact-us/directions-open-table-maynard-dinner-and-pantry/,978-823-0082,,42.430851,-71.003838
96,GBFB Member Agency,Cambridge Economic Opportunity Committee Food Pantry,11 Inman St.,Cambridge,2139,2139,"M: 4-6, T: 12am-2pm, W: 4-6, Th: 11am-1pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""16:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""12:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""16:00""
""end"" : ""18:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""11:00""
""end"" : ""13:00""",,http://www.ceoccambridge.org/home0.aspx,617-868-2900,,42.367367,-71.105171
97,GBFB Member Agency,Among Friends,166 High St.,Newburyport,01950-3948,01950-3948,"M: 5:30-6:30, Tue, F: 11:30-1","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:30""
""end"" : ""18:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""11:30""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""11:30""
""end"" : ""13:00""",,http://www.stpauls-nbpt.org/events/among-friends,978-465-5351,,42.809921,-70.87616
98,GBFB Member Agency,Sacred Heart Church Food Pantry,160 Seabury St.,Fall River,2720,2720,M: 5-6:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:00""
""end"" : ""18:30""",,,508-673-0852,,41.702707,-71.147084
99,GBFB Finder,Open Table/Maynard Community Supper,12 Clock Tower Place,Maynard,1754,1754,M: 6pm-7:30pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""18:00""
""end"" : ""19:30""",,,978-823-0082,,42.430894,-71.457902
100,GBFB Finder,New Bethel Batist Church Pantry,11 Beech Street,Framingham,1703,1703,M: 6pm-8pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""18:00""
""end"" : ""20:00""",,,508-872-1222,,42.310402,-71.420998
101,GBFB Member Agency,CCS - North Reading Food Pantry,235 North St.,North Reading,1864,1864,"M: 8-10am, 1st and 3rd M. evenings 7-8pm",,,http://www.nrfoodpantry.org/,978-276-0040,nrfoodpantry@gmail.com,42.587646,-71.118427
102,CofBoston,Boston Rescue Mission Pantry,39 Kingston st,Boston,2111,2111,M: 9am-11am,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""11:00""",,http://www.gbfb.org/need-food/index.php,617-338-9000,,42.353572,-71.118427
103,GBFB Member Agency,AIDS Support Group of Cape Cod,428 South St.,Hyannis,2601,2601,M-F ,,,http://www.asgcc.org/,508-778-1954,,41.64872,-70.28949
104,CofBoston,Boston Medical Center Food Pantry,818 Harrison Ave,Roxbury,2118,2118,M-F 10:00am-4pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""16:00""",,http://www.gbfb.org/need-food/index.php,617-414-3834,,42.336021,-71.073689
105,Unaffiliated,Hands of Hope Outreach Food Pantry,49 Ste. 28,W. Harwich,2671,2671,"M-F: 10-3, T,W,Thu: 1-3","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""13:00""
""end"" : ""15:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""15:00""",,,508-432-1312,,41.651848,-70.287231
